                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.87745,                0.77408,                0.93141,                0.98494,                0.99971,                  0.995,                0.76618,                0.87458,                0.70451,                 1.0144,             0.00095736,             0.00095736,             0.00095736
                     88,                0.90788,                0.74227,                0.97393,                0.97118,                0.99933,                  0.995,                0.75382,                0.88314,                0.75256,                 1.0245,             0.00094911,             0.00094911,             0.00094911
                     89,                0.77989,                 0.7445,                0.96538,                0.97944,                      1,                  0.995,                0.72604,                 1.0195,                0.73817,                 1.0421,             0.00094085,             0.00094085,             0.00094085
                     90,                 0.8956,                0.75996,                0.92891,                0.98931,                      1,                  0.995,                0.72783,                 1.0375,                0.73963,                 1.0489,              0.0009326,              0.0009326,              0.0009326
                     91,                0.82734,                0.70198,                0.97382,                0.99296,                      1,                  0.995,                0.78889,                0.86488,                0.68385,                 1.0314,             0.00092435,             0.00092435,             0.00092435
                     92,                0.92438,                0.77067,                 1.0412,                0.99375,                      1,                  0.995,                0.78357,                0.94077,                0.71671,                 1.0444,              0.0009161,              0.0009161,              0.0009161
                     93,                0.79731,                0.67905,                0.98283,                0.99407,                      1,                  0.995,                0.78264,                0.89066,                0.69613,                 1.0314,             0.00090785,             0.00090785,             0.00090785
                     94,                0.90285,                0.75323,                0.99949,                0.99243,                      1,                  0.995,                0.74605,                0.99242,                0.73871,                 1.0396,              0.0008996,              0.0008996,              0.0008996
                     95,                0.88682,                0.75497,                0.94609,                0.98986,                      1,                  0.995,                0.71671,                 1.0898,                0.77586,                 1.0562,             0.00089134,             0.00089134,             0.00089134
                     96,                0.90203,                0.73497,                0.98252,                0.97551,                      1,                  0.995,                0.75752,                0.88576,                0.66764,                 1.0063,             0.00088309,             0.00088309,             0.00088309
                     97,                0.85581,                0.70274,                 0.9572,                0.97499,                      1,                  0.995,                0.75698,                0.98146,                0.69443,                 1.0242,             0.00087484,             0.00087484,             0.00087484
                     98,                0.82924,                0.68999,                0.96325,                0.97914,                0.99963,                  0.995,                0.75767,                 1.0271,                0.69738,                  1.045,             0.00086659,             0.00086659,             0.00086659
                     99,                0.84493,                0.76314,                0.98043,                0.97823,                0.99843,                  0.995,                0.77045,                0.92872,                0.64559,                 1.0449,             0.00085834,             0.00085834,             0.00085834
                    100,                0.75343,                0.76656,                0.96711,                0.98544,                0.99854,                  0.995,                0.78535,                0.85717,                0.66059,                 1.0361,             0.00085009,             0.00085009,             0.00085009
                    101,                0.78513,                0.70415,                0.97839,                 0.9852,                      1,                  0.995,                0.78685,                0.83617,                0.65622,                 1.0222,             0.00084184,             0.00084184,             0.00084184
                    102,                0.79401,                0.71132,                0.94465,                0.98757,                      1,                  0.995,                0.77764,                0.86106,                0.63812,                 1.0103,             0.00083358,             0.00083358,             0.00083358
                    103,                0.81667,                0.67417,                0.96527,                0.98948,                      1,                  0.995,                0.78253,                0.88398,                0.64622,                 1.0094,             0.00082533,             0.00082533,             0.00082533
                    104,                0.78142,                0.69253,                 0.9733,                0.98291,                      1,                  0.995,                0.76704,                0.88004,                0.61899,                  1.015,             0.00081708,             0.00081708,             0.00081708
                    105,                0.74616,                0.66272,                0.94849,                0.98189,                      1,                  0.995,                0.76762,                0.90024,                0.61752,                 1.0247,             0.00080883,             0.00080883,             0.00080883
                    106,                0.80978,                0.70338,                0.95642,                0.97856,                      1,                  0.995,                0.77716,                0.89375,                0.62168,                 1.0267,             0.00080058,             0.00080058,             0.00080058
                    107,                0.76588,                0.66414,                0.92461,                0.97357,                      1,                  0.995,                0.79342,                0.86155,                0.62609,                 1.0208,             0.00079233,             0.00079233,             0.00079233
                    108,                0.85549,                 0.6866,                0.97791,                0.97498,                      1,                  0.995,                0.78632,                0.88555,                0.59928,                 1.0243,             0.00078407,             0.00078407,             0.00078407
