                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.5291,                 1.3941,                 0.9523,                0.98686,                0.84852,                0.90044,                0.58494,                 1.2951,                 1.1925,                0.97867,             0.00092435,             0.00092435,             0.00092435
                     93,                 1.3653,                 1.2588,                0.97883,                0.98645,                0.85272,                0.89956,                0.56276,                  1.335,                  1.191,                0.97753,              0.0009161,              0.0009161,              0.0009161
                     94,                 1.3955,                 1.3148,                0.92589,                0.98935,                0.85328,                0.90087,                0.56671,                 1.3154,                  1.175,                0.97735,             0.00090785,             0.00090785,             0.00090785
                     95,                 1.4833,                 1.3363,                0.95645,                0.99226,                0.85621,                0.89972,                0.56307,                 1.3151,                 1.1474,                0.97974,              0.0008996,              0.0008996,              0.0008996
                     96,                  1.288,                 1.1759,                0.91744,                0.97219,                0.85621,                0.90146,                0.55758,                 1.3716,                 1.1932,                0.98228,             0.00089134,             0.00089134,             0.00089134
                     97,                 1.3814,                 1.2289,                0.95225,                0.97291,                0.85621,                0.90146,                 0.5629,                 1.3602,                 1.2124,                0.98234,             0.00088309,             0.00088309,             0.00088309
                     98,                 1.2924,                  1.229,                0.95229,                0.97965,                0.85621,                0.90149,                0.57987,                 1.2878,                 1.1811,                0.97459,             0.00087484,             0.00087484,             0.00087484
                     99,                 1.3486,                 1.2563,                0.91168,                0.99408,                0.87495,                0.90466,                0.57797,                 1.2823,                 1.1448,                0.96589,             0.00086659,             0.00086659,             0.00086659
                    100,                 1.3488,                 1.3037,                0.93739,                0.98823,                0.88399,                0.90635,                0.58451,                 1.3154,                 1.0931,                0.97387,             0.00085834,             0.00085834,             0.00085834
                    101,                 1.2917,                 1.2573,                0.94275,                0.98963,                0.88399,                0.90634,                0.57934,                 1.3478,                  1.123,                0.97882,             0.00085009,             0.00085009,             0.00085009
